N,BLOCK,Serial,GlobalSingle,Shared,GlobalMulti,Speedup_GlobalSingle,Speedup_Shared,Speedup_GlobalMulti,GlobalSingleCheck,SharedCheck,GlobalMultiCheck
32,32,0.014,0.293,0.021,0.181,0.05,0.68,0.08,PASS,PASS,PASS
32,64,0.005,0.173,0.010,0.169,0.03,0.49,0.03,PASS,PASS,PASS
32,128,0.005,0.172,0.009,0.171,0.03,0.55,0.03,PASS,PASS,PASS
32,256,0.005,0.180,0.010,0.169,0.03,0.49,0.03,PASS,PASS,PASS
64,32,0.013,N/A,N/A,0.340,N/A,N/A,0.04,N/A,N/A,PASS
64,64,0.013,0.343,0.012,0.338,0.04,1.09,0.04,PASS,PASS,PASS
64,128,0.013,0.347,0.010,0.337,0.04,1.24,0.04,PASS,PASS,PASS
64,256,0.012,0.346,0.012,0.338,0.03,1.04,0.04,PASS,PASS,PASS
128,32,0.046,N/A,N/A,0.686,N/A,N/A,0.07,N/A,N/A,PASS
128,64,0.046,N/A,N/A,0.679,N/A,N/A,0.07,N/A,N/A,PASS
128,128,0.045,0.674,0.016,0.667,0.07,2.86,0.07,PASS,PASS,PASS
128,256,0.044,0.667,0.015,0.676,0.07,2.94,0.07,PASS,PASS,PASS
1024,32,2.224,N/A,N/A,5.350,N/A,N/A,0.42,N/A,N/A,PASS
1024,64,2.235,N/A,N/A,5.368,N/A,N/A,0.42,N/A,N/A,PASS
1024,128,2.253,N/A,N/A,5.412,N/A,N/A,0.42,N/A,N/A,PASS
1024,256,2.249,N/A,N/A,5.378,N/A,N/A,0.42,N/A,N/A,PASS
2048,32,8.759,N/A,N/A,10.742,N/A,N/A,0.82,N/A,N/A,PASS
2048,64,8.718,N/A,N/A,10.727,N/A,N/A,0.81,N/A,N/A,PASS
2048,128,8.757,N/A,N/A,10.639,N/A,N/A,0.82,N/A,N/A,PASS
2048,256,8.567,N/A,N/A,10.592,N/A,N/A,0.81,N/A,N/A,PASS
4096,32,34.009,N/A,N/A,21.465,N/A,N/A,1.58,N/A,N/A,PASS
4096,64,33.623,N/A,N/A,21.357,N/A,N/A,1.57,N/A,N/A,PASS
4096,128,33.556,N/A,N/A,21.201,N/A,N/A,1.58,N/A,N/A,PASS
4096,256,34.705,N/A,N/A,21.328,N/A,N/A,1.63,N/A,N/A,PASS